"ENTRY","YIELD_PredMean","EnvLevel"
"1",5.63018226480348,"1"
"10",2.44891889956376,"1"
"11",3.86388026032841,"1"
"12",4.11762682862985,"1"
"13",4.44691675766734,"1"
"14",3.35467145244062,"1"
"15",3.65149930882082,"1"
"16",6.70208006315192,"1"
"17",4.35589626752655,"1"
"18",4.33554876064828,"1"
"19",5.16850651706273,"1"
"2",5.53258818939451,"1"
"20",4.44691675766734,"1"
"21",2.90402106203633,"1"
"22",3.87045399001568,"1"
"23",5.14919175936089,"1"
"24",4.97269190340242,"1"
"25",4.50102340368936,"1"
"26",4.62895744911074,"1"
"27",4.78511008702911,"1"
"28",4.05249482587817,"1"
"29",5.35054720850613,"1"
"3",4.17385543166406,"1"
"30",4.42656925078906,"1"
"31",3.2681028787872,"1"
"32",4.12316780914068,"1"
"33",4.17830720373234,"1"
"34",5.78188298562767,"1"
"35",4.80442484533775,"1"
"36",4.06248757845728,"1"
"37",4.71340435459015,"1"
"38",3.94112697327819,"1"
"39",4.80442484533775,"1"
"4",5.09405236476923,"1"
"40",5.94357645903097,"1"
"41",4.62895744911074,"1"
"42",3.65149930882082,"1"
"43",2.60616060089878,"1"
"44",4.26932769447993,"1"
"45",4.95612556616194,"1"
"46",5.1750801023309,"1"
"47",3.92456049101182,"1"
"48",3.7590861368089,"1"
"49",3.84011387437058,"1"
"5",3.02538166782222,"1"
"50",4.78511008702911,"1"
"51",3.75354515690487,"1"
"52",2.90956204254716,"1"
"53",3.51636492584392,"1"
"54",4.26932769447993,"1"
"55",3.03092264833305,"1"
"56",3.66252466615728,"1"
"57",5.53258818939451,"1"
"58",5.83598963104289,"1"
"59",4.44691675766734,"1"
"6",3.93558599276736,"1"
"60",6.36279752595441,"1"
"7",4.45690951085325,"1"
"8",4.14351531601896,"1"
"9",4.13694144191261,"1"
